fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,m1_train_n_trades,m1_train_profit_factor,m1_train_win_rate,m1_train_trades_per_month,m1_train_avg_trade_pct,m1_train_total_return_pct,pass,fail_reason
1.3829712858083616,4.5,16,35,35,1.7,40,False,True,True,183,1.3829712858083616,57.377049180327866,1.3125636192271442,0.09211909280933644,10.700059814116726,183,1.4672678639411239,55.73770491803278,1.3125636192271442,0.07355274896536725,12.181277950089827,True,
1.3730855278077672,4.0,16,35,50,1.7,40,False,True,True,183,1.3730855278077672,57.377049180327866,1.3125636192271442,0.09211909280933642,11.716116387481582,183,1.4759477103732261,55.73770491803278,1.3125636192271442,0.07355274896536694,13.768916383677004,True,
1.3510119652057646,4.0,16,35,40,1.6,15,False,True,True,172,1.3510119652057646,56.395348837209305,1.2336663524976437,0.06657734129263718,10.768154445912039,172,1.43954886426043,55.23255813953488,1.2336663524976437,0.050326270733717156,12.647519198023893,True,
1.3274481082670169,1.5,16,35,35,1.6,45,False,True,True,184,1.3274481082670169,57.608695652173914,1.319736098020735,0.0742922411908761,16.932992998369002,184,1.2622555027725968,55.97826086956522,1.319736098020735,0.0514408471858728,13.378118736055002,True,
1.317870018738758,2.5,16,35,25,1.6,50,False,True,True,183,1.317870018738758,57.377049180327866,1.3125636192271442,0.06959024711510939,14.331118704937548,183,1.2920334533458955,55.73770491803278,1.3125636192271442,0.04794721680589038,12.896847867240528,True,
1.3094881277645989,2.0,16,35,40,1.6,45,False,True,True,185,1.3094881277645989,57.2972972972973,1.326908576814326,0.06956824521200625,15.165216295811144,185,1.3046407508835096,55.67567567567567,1.326908576814326,0.04841236883654144,14.331703067481854,True,
1.3088107019399415,3.0,16,35,45,1.7,45,False,True,True,185,1.3088107019399415,57.2972972972973,1.326908576814326,0.06956824521200584,12.704918195061099,185,1.342474726475882,55.67567567567567,1.326908576814326,0.04841236883654076,13.508349231370328,True,
1.298491174620355,2.0,16,35,40,1.1,25,False,True,True,171,1.298491174620355,56.72514619883041,1.2264938737040527,0.07031811671221885,13.272843844576265,171,1.3116834716823285,55.55555555555556,1.2264938737040527,0.05038868351731558,13.118272622681257,True,
1.288522107108866,4.0,14,35,15,1.7,40,False,True,True,231,1.288522107108866,56.709956709956714,1.6568426013195099,0.08218835306372188,13.195622677281872,231,1.3601883150016152,55.41125541125541,1.6568426013195099,0.07225980567169284,15.627711996482152,True,
1.288522107108866,4.0,14,35,15,1.8,40,False,True,True,231,1.288522107108866,56.709956709956714,1.6568426013195099,0.08218835306372188,13.195622677281872,231,1.3601883150016152,55.41125541125541,1.6568426013195099,0.07225980567169284,15.627711996482152,True,
