fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,m1_oos1_n_trades,m1_oos1_profit_factor,m1_oos1_win_rate,m1_oos1_trades_per_month,m1_oos1_avg_trade_pct,m1_oos1_total_return_pct,m1_oos2_n_trades,m1_oos2_profit_factor,m1_oos2_win_rate,m1_oos2_trades_per_month,m1_oos2_avg_trade_pct,m1_oos2_total_return_pct,pass,fail_reason
1.3829712858083616,4.5,16,35,35,1.7,40,False,True,True,136,2.498134939834249,66.17647058823529,1.6260172820109977,0.2748339936944898,19.19799999999997,65,0.816906217791557,50.76923076923077,1.1659398939304657,-0.07344452031915348,-4.17718515319621,False,m1_oos2 profit_factor=0.8169 <= 1.1
1.3730855278077672,4.0,16,35,50,1.7,40,False,True,True,136,2.4801266260808155,66.17647058823529,1.6260172820109977,0.2748339936944898,21.529908831392405,65,0.7999698645431403,50.76923076923077,1.1659398939304657,-0.0734445203191531,-5.040587394682448,False,m1_oos2 profit_factor=0.8000 <= 1.1
1.3510119652057646,4.0,16,35,40,1.6,15,False,True,True,124,2.53079067217035,66.12903225806451,1.4825451688923803,0.25466713947535086,20.10019999999996,59,0.730647563221686,54.23728813559322,1.0583146729522688,-0.24654832416992623,-6.110553915585397,False,m1_oos2 profit_factor=0.7306 <= 1.1
1.3274481082670169,1.5,16,35,35,1.6,45,False,True,True,137,2.3424827114057956,65.69343065693431,1.637973291437549,0.2685934144912216,42.80198387348617,65,0.941844868846996,49.23076923076923,1.1659398939304657,-0.12059904003282082,-1.8429687559286048,False,m1_oos2 profit_factor=0.9418 <= 1.1
1.317870018738758,2.5,16,35,25,1.6,50,False,True,True,134,2.4668315278035045,65.67164179104478,1.602105263157895,0.26270739968881857,33.23637880194067,63,1.0516713873189445,49.2063492063492,1.1300648202710668,0.04672468618417802,1.2653119494858491,False,m1_oos2 profit_factor=1.0517 <= 1.1
1.3094881277645989,2.0,16,35,40,1.6,45,False,True,True,137,2.4433301990436718,65.69343065693431,1.637973291437549,0.2685934144912212,40.62217934113774,65,0.8449852975148084,49.23076923076923,1.1659398939304657,-0.12059904003282093,-4.895946405697823,False,m1_oos2 profit_factor=0.8450 <= 1.1
1.3088107019399415,3.0,16,35,45,1.7,45,False,True,True,138,2.411985782867684,65.21739130434783,1.6499293008641007,0.2609994492976012,28.73441657265624,65,0.8388509188825846,49.23076923076923,1.1659398939304657,-0.12059904003282118,-4.676245656149958,False,m1_oos2 profit_factor=0.8389 <= 1.1
1.298491174620355,2.0,16,35,40,1.1,25,False,True,True,134,2.5352885152536193,66.4179104477612,1.602105263157895,0.2739758967921922,41.49223761900085,61,1.08881260294947,54.09836065573771,1.0941897466116677,-0.06435587803226737,2.307198463852101,False,m1_oos2 profit_factor=1.0888 <= 1.1
1.288522107108866,4.0,14,35,15,1.7,40,False,True,True,174,1.853613461994354,63.2183908045977,2.080345640219953,0.2342914557388945,21.723006185146517,89,0.8578998841839134,47.19101123595505,1.596440777843253,-0.04534752919965847,-4.290089489266916,False,m1_oos2 profit_factor=0.8579 <= 1.1
1.288522107108866,4.0,14,35,15,1.8,40,False,True,True,174,1.853613461994354,63.2183908045977,2.080345640219953,0.2342914557388945,21.723006185146517,89,0.8578998841839134,47.19101123595505,1.596440777843253,-0.04534752919965847,-4.290089489266916,False,m1_oos2 profit_factor=0.8579 <= 1.1
1.2793430212987638,3.5,16,35,35,1.6,45,False,True,True,138,2.4115183529876028,65.21739130434783,1.6499293008641007,0.26099944929760105,24.45557658253665,65,0.7440933752757339,49.23076923076923,1.1659398939304657,-0.12059904003282004,-7.022598378299522,False,m1_oos2 profit_factor=0.7441 <= 1.1
