fitness,param_sl_atr,param_adx_period,param_adx_threshold,param_volume_lookback,param_volume_mult,param_regime_lookback,param_use_volume_filter,param_use_trend_filter,param_use_regime_filter,htf_train_n_trades,htf_train_profit_factor,htf_train_win_rate,htf_train_trades_per_month,htf_train_avg_trade_pct,htf_train_total_return_pct,pass,fail_reason
3.6674230285987437,3.0,16,35,40,1.5,45,True,True,True,22,3.6674230285987437,77.27272727272727,0.15779453345900094,0.4639721089859781,8.249368506956554,False,htf_train n_trades=22.0000 <= 100.0
3.6674230285987437,3.0,16,35,40,1.5,50,True,True,True,22,3.6674230285987437,77.27272727272727,0.15779453345900094,0.4639721089859781,8.249368506956554,False,htf_train n_trades=22.0000 <= 100.0
3.6437087929913936,3.0,16,35,40,1.5,50,True,True,False,26,3.6437087929913936,73.07692307692307,0.18648444863336475,0.4104784817699791,8.762599067605908,False,htf_train n_trades=26.0000 <= 100.0
3.6437087929913936,3.0,16,35,40,1.5,45,True,True,False,26,3.6437087929913936,73.07692307692307,0.18648444863336475,0.4104784817699791,8.762599067605908,False,htf_train n_trades=26.0000 <= 100.0
3.6437087929913936,3.0,16,35,40,1.5,25,True,True,False,26,3.6437087929913936,73.07692307692307,0.18648444863336475,0.4104784817699791,8.762599067605908,False,htf_train n_trades=26.0000 <= 100.0
3.5840596304173395,1.0,16,35,40,1.5,50,True,True,False,26,3.5840596304173395,73.07692307692307,0.18648444863336475,0.410478481769982,10.91489817760738,False,htf_train n_trades=26.0000 <= 100.0
3.5840596304173395,1.0,16,35,40,1.5,20,True,True,False,26,3.5840596304173395,73.07692307692307,0.18648444863336475,0.410478481769982,10.91489817760738,False,htf_train n_trades=26.0000 <= 100.0
3.560522733456675,4.0,16,35,40,1.5,50,True,True,False,26,3.560522733456675,73.07692307692307,0.18648444863336475,0.41047848176998264,6.956718174247838,False,htf_train n_trades=26.0000 <= 100.0
3.560522733456675,4.0,16,35,40,1.5,45,True,True,False,26,3.560522733456675,73.07692307692307,0.18648444863336475,0.41047848176998264,6.956718174247838,False,htf_train n_trades=26.0000 <= 100.0
3.560522733456675,4.0,16,35,40,1.5,30,True,True,False,26,3.560522733456675,73.07692307692307,0.18648444863336475,0.41047848176998264,6.956718174247838,False,htf_train n_trades=26.0000 <= 100.0
3.560522733456675,4.0,16,35,40,1.5,20,True,True,False,26,3.560522733456675,73.07692307692307,0.18648444863336475,0.41047848176998264,6.956718174247838,False,htf_train n_trades=26.0000 <= 100.0
3.560522733456675,4.0,16,35,40,1.5,25,True,True,False,26,3.560522733456675,73.07692307692307,0.18648444863336475,0.41047848176998264,6.956718174247838,False,htf_train n_trades=26.0000 <= 100.0
3.560522733456675,4.0,16,35,40,1.5,40,True,True,False,26,3.560522733456675,73.07692307692307,0.18648444863336475,0.41047848176998264,6.956718174247838,False,htf_train n_trades=26.0000 <= 100.0
3.5532190528987537,4.0,16,35,40,1.5,45,True,True,True,22,3.5532190528987537,77.27272727272727,0.15779453345900094,0.46397210898598146,6.474486737192758,False,htf_train n_trades=22.0000 <= 100.0
3.5532190528987537,4.0,16,35,40,1.5,50,True,True,True,22,3.5532190528987537,77.27272727272727,0.15779453345900094,0.46397210898598146,6.474486737192758,False,htf_train n_trades=22.0000 <= 100.0
3.512640130110077,2.0,16,35,40,1.5,50,True,True,True,22,3.512640130110077,77.27272727272727,0.15779453345900094,0.46397210898598146,9.59545858666803,False,htf_train n_trades=22.0000 <= 100.0
3.512640130110077,2.0,16,35,40,1.5,45,True,True,True,22,3.512640130110077,77.27272727272727,0.15779453345900094,0.46397210898598146,9.59545858666803,False,htf_train n_trades=22.0000 <= 100.0
3.4947029885457175,4.0,16,35,45,1.6,45,True,True,False,24,3.4947029885457175,75.0,0.17213949104618284,0.40784794191281004,6.715530144750454,False,htf_train n_trades=24.0000 <= 100.0
3.4529481063405694,4.0,16,35,45,1.6,50,True,True,True,21,3.4529481063405694,76.19047619047619,0.15062205466540998,0.44243048320355566,6.211884298778466,False,htf_train n_trades=21.0000 <= 100.0
3.4529481063405694,4.0,16,35,45,1.6,45,True,True,True,21,3.4529481063405694,76.19047619047619,0.15062205466540998,0.44243048320355566,6.211884298778466,False,htf_train n_trades=21.0000 <= 100.0
3.4139244809558567,3.5,16,35,40,1.5,45,True,True,True,22,3.4139244809558567,77.27272727272727,0.15779453345900094,0.46397210898597985,7.281702978790297,False,htf_train n_trades=22.0000 <= 100.0
3.4139244809558567,3.5,16,35,40,1.5,50,True,True,True,22,3.4139244809558567,77.27272727272727,0.15779453345900094,0.46397210898597985,7.281702978790297,False,htf_train n_trades=22.0000 <= 100.0
3.4082497853717912,3.5,16,35,40,1.5,50,True,True,False,26,3.4082497853717912,73.07692307692307,0.18648444863336475,0.4104784817699817,7.790546778116939,False,htf_train n_trades=26.0000 <= 100.0
3.385963337509346,3.0,16,35,40,1.6,45,True,True,True,20,3.385963337509346,75.0,0.14344957587181903,0.4393290386612816,7.3375699310576445,False,htf_train n_trades=20.0000 <= 100.0
3.3734292935698313,3.0,16,35,40,1.5,40,True,True,True,21,3.3734292935698313,76.19047619047619,0.15062205466540998,0.4347403977357292,7.297203045811705,False,htf_train n_trades=21.0000 <= 100.0
3.3280297118723317,5.0,16,35,40,1.5,35,True,True,False,26,3.3280297118723317,73.07692307692307,0.18648444863336475,0.4104784817699826,5.227357915038153,False,htf_train n_trades=26.0000 <= 100.0
3.3206128663874908,5.0,16,35,40,1.5,50,True,True,True,22,3.3206128663874908,77.27272727272727,0.15779453345900094,0.463972108985981,4.876999999999969,False,htf_train n_trades=22.0000 <= 100.0
3.3179720331666576,4.0,16,35,35,1.6,50,True,True,True,20,3.3179720331666576,75.0,0.14344957587181903,0.43932903866128253,5.867983785867362,False,htf_train n_trades=20.0000 <= 100.0
3.3179720331666576,4.0,16,35,40,1.7,50,True,True,True,20,3.3179720331666576,75.0,0.14344957587181903,0.43932903866128253,5.867983785867362,False,htf_train n_trades=20.0000 <= 100.0
3.3179720331666576,4.0,16,35,35,1.6,45,True,True,True,20,3.3179720331666576,75.0,0.14344957587181903,0.43932903866128253,5.867983785867362,False,htf_train n_trades=20.0000 <= 100.0
3.3179720331666576,4.0,16,35,40,1.6,45,True,True,True,20,3.3179720331666576,75.0,0.14344957587181903,0.43932903866128253,5.867983785867362,False,htf_train n_trades=20.0000 <= 100.0
3.3179720331666576,4.0,16,35,40,1.6,50,True,True,True,20,3.3179720331666576,75.0,0.14344957587181903,0.43932903866128253,5.867983785867362,False,htf_train n_trades=20.0000 <= 100.0
3.3179720331666576,4.0,16,35,40,1.7,45,True,True,True,20,3.3179720331666576,75.0,0.14344957587181903,0.43932903866128253,5.867983785867362,False,htf_train n_trades=20.0000 <= 100.0
3.3110840774943058,3.0,16,35,45,1.7,45,True,True,True,19,3.3110840774943058,73.68421052631578,0.13627709707822808,0.4508562922586532,7.101223047471597,False,htf_train n_trades=19.0000 <= 100.0
3.2944904331702056,3.5,16,35,45,1.6,50,True,True,False,24,3.2944904331702056,75.0,0.17213949104618284,0.4078479419128094,7.347506723634385,False,htf_train n_trades=24.0000 <= 100.0
3.28815764067355,2.0,16,35,45,1.6,45,True,True,True,21,3.28815764067355,76.19047619047619,0.15062205466540998,0.44243048320355305,8.692709815986875,False,htf_train n_trades=21.0000 <= 100.0
3.2747844773490598,2.5,16,35,40,1.6,45,True,True,True,20,3.2747844773490598,75.0,0.14344957587181903,0.43932903866128453,7.812657035277783,False,htf_train n_trades=20.0000 <= 100.0
3.2634283030834124,3.5,16,35,45,1.6,45,True,True,True,21,3.2634283030834124,76.19047619047619,0.15062205466540998,0.4424304832035546,6.8148181823972,False,htf_train n_trades=21.0000 <= 100.0
3.258847371907413,1.5,16,35,40,1.7,50,True,True,True,20,3.258847371907413,75.0,0.14344957587181903,0.43932903866127854,8.8547733408841,False,htf_train n_trades=20.0000 <= 100.0
3.258847371907413,1.5,16,35,40,1.7,45,True,True,True,20,3.258847371907413,75.0,0.14344957587181903,0.43932903866127854,8.8547733408841,False,htf_train n_trades=20.0000 <= 100.0
3.258847371907413,1.5,16,35,40,1.6,50,True,True,True,20,3.258847371907413,75.0,0.14344957587181903,0.43932903866127854,8.8547733408841,False,htf_train n_trades=20.0000 <= 100.0
3.2580143846190817,1.0,16,35,35,1.6,45,True,True,True,20,3.2580143846190817,75.0,0.14344957587181903,0.4393290386612828,8.853727879902767,False,htf_train n_trades=20.0000 <= 100.0
3.2580143846190817,1.0,16,35,40,1.6,50,True,True,True,20,3.2580143846190817,75.0,0.14344957587181903,0.4393290386612828,8.853727879902767,False,htf_train n_trades=20.0000 <= 100.0
